experiment,var,type,shots,label,theoretical,experimental,std_dev,abs_dev,percent_dev
1,4,Consistent,64,0000,0.93359375,0.8828125,0.0485800992348375,0.05078125,5.439330543933055
1,4,Consistent,64,0011,0.0321875,0.0546875,0.0270632938682637,0.0225,69.90291262135922
1,4,Consistent,64,1100,0.0321875,0.0390625,0.0299195971173855,0.006874999999999999,21.35922330097087
1,4,Consistent,64,1111,0.00203125,0.0,0.0,0.00203125,100.0
1,4,Consistent,128,0000,0.93984375,0.88671875,0.0242900496174187,0.05312499999999998,5.6525353283458
1,4,Consistent,128,0011,0.030859375,0.041015625,0.0133423838098432,0.010156249999999999,32.91139240506328
1,4,Consistent,128,1100,0.028359375,0.04296875,0.0149597985586927,0.014609375,51.51515151515152
1,4,Consistent,128,1111,0.0009375,0.001953125,0.00390625,0.001015625,108.33333333333334
1,4,Consistent,256,0000,0.9390234375,0.884765625,0.0133423838098432,0.05425781249999995,5.77811057032322
1,4,Consistent,256,0011,0.0303515625,0.0595703125,0.0102732642174866,0.02921875,96.26769626769628
1,4,Consistent,256,1100,0.029375,0.02734375,0.0090210979560879,0.0020312499999999983,6.914893617021272
1,4,Consistent,256,1111,0.00125,0.0009765625,0.001953125,0.0002734375,21.875000000000004
2,8,Consistent,64,0000,0.96796875,0.90625,0.015625,0.061718750000000044,6.376109765940279
2,8,Consistent,64,0011,0.0146875,0.0260416666666666,0.0180421959121758,0.0113541666666666,77.30496453900663
2,8,Consistent,64,1100,0.0171875,0.03125,0.0270632938682637,0.014062499999999999,81.8181818181818
2,8,Consistent,64,1111,0.00015625,0.0,0.0,0.00015625,100.0
2,8,Consistent,128,0000,0.967421875,0.8489583333333334,0.0315738428463076,0.11846354166666662,12.245282510969336
2,8,Consistent,128,0011,0.01421875,0.046875,0.03125,0.03265625,229.67032967032966
2,8,Consistent,128,1100,0.018046875,0.0572916666666666,0.0315738428463076,0.0392447916666666,217.4603174603171
2,8,Consistent,128,1111,0.0003125,0.0,0.0,0.0003125,100.0
2,8,Consistent,256,0000,0.96640625,0.8997395833333334,0.0147888238171882,0.06666666666666665,6.89841013203988
2,8,Consistent,256,0011,0.0169921875,0.0364583333333333,0.0215139474503363,0.019466145833333302,114.55938697317991
2,8,Consistent,256,1100,0.0162890625,0.0338541666666666,0.0059668954361404,0.017565104166666602,107.83373301358874
2,8,Consistent,256,1111,0.0003125,0.0,0.0,0.0003125,100.0
3,12,Consistent,64,0000,0.965625,0.8854166666666666,0.0325260312416583,0.08020833333333333,8.306364617044228
3,12,Consistent,64,0011,0.0171875,0.03125,0.0270632938682637,0.014062499999999999,81.8181818181818
3,12,Consistent,64,1100,0.01703125,0.0364583333333333,0.0325260312416583,0.0194270833333333,114.06727828746158
3,12,Consistent,64,1111,0.00015625,0.0052083333333333,0.0090210979560879,0.0050520833333333,3233.3333333333117
3,12,Consistent,128,0000,0.967890625,0.8854166666666666,0.0360843918243516,0.08247395833333337,8.520999811660886
3,12,Consistent,128,0011,0.01609375,0.0364583333333333,0.0225527448902197,0.0203645833333333,126.53721682847876
3,12,Consistent,128,1100,0.015703125,0.046875,0.0078125,0.031171875,198.5074626865672
3,12,Consistent,128,1111,0.0003125,0.0026041666666666,0.0045105489780439,0.0022916666666666003,733.3333333333121
3,12,Consistent,256,0000,0.9678125,0.8567708333333334,0.0251136738567524,0.1110416666666666,11.473468948444724
3,12,Consistent,256,0011,0.0166015625,0.046875,0.0067658234670659,0.0302734375,182.35294117647058
3,12,Consistent,256,1100,0.015390625,0.0533854166666666,0.0157869214231538,0.037994791666666604,246.86971235194542
3,12,Consistent,256,1111,0.0001953125,0.0,0.0,0.0001953125,100.0
4,4,Inconsistent,64,0000,0.98015625,0.9427083333333334,0.0238675817445616,0.03744791666666658,3.820606833519307
4,4,Inconsistent,64,0011,0.0,0.0208333333333333,0.0090210979560879,0.0208333333333333,
4,4,Inconsistent,64,1100,0.01984375,0.0208333333333333,0.0090210979560879,0.0009895833333333007,4.986876640419783
4,4,Inconsistent,64,1111,0.0,0.0,0.0,0.0,
4,4,Inconsistent,128,0000,0.982109375,0.9270833333333334,0.0393220543503684,0.05502604166666658,5.602842521146545
4,4,Inconsistent,128,0011,0.0,0.0338541666666666,0.0162630156208291,0.0338541666666666,
4,4,Inconsistent,128,1100,0.017890625,0.0182291666666666,0.0119337908722808,0.00033854166666659816,1.8922852983984526
4,4,Inconsistent,128,1111,0.0,0.0,0.0,0.0,
4,4,Inconsistent,256,0000,0.9822265625,0.9401041666666666,0.0125568369283762,0.042122395833333326,4.288460263803274
4,4,Inconsistent,256,0011,0.0,0.0182291666666666,0.0022552744890219,0.0182291666666666,
4,4,Inconsistent,256,1100,0.0177734375,0.03125,0.0078125,0.0134765625,75.82417582417584
4,4,Inconsistent,256,1111,0.0,0.0013020833333333,0.0022552744890219,0.0013020833333333,
5,8,Inconsistent,64,0000,1.0,0.9322916666666666,0.0325260312416583,0.06770833333333337,6.7708333333333375
5,8,Inconsistent,64,0011,0.0,0.0052083333333333,0.0090210979560879,0.0052083333333333,
5,8,Inconsistent,64,1100,0.0,0.0364583333333333,0.0325260312416583,0.0364583333333333,
